timestamp,symbol,action,price,shares,pnl,reason
2024-04-23T00:00:00,NVDA,SELL,81.5019,11,58.20263955000005,Take Profit
2024-04-24T00:00:00,TSLA,SELL,151.9935,5,49.33751625,Take Profit
2024-04-30T00:00:00,MSFT,BUY,385.06,1,0.0,Oversold (BB Lower)
2024-05-10T00:00:00,QQQ,SELL,439.9947,1,28.564702650000044,Take Profit
2024-05-13T00:00:00,MSFT,SELL,412.0142,1,26.748192900000014,Take Profit
2024-05-15T00:00:00,SPY,SELL,520.16,1,24.60991999999995,Overbought (BB Upper)
2024-07-19T00:00:00,MSFT,BUY,433.08,1,0.0,Oversold (BB Lower)
2024-07-24T00:00:00,QQQ,BUY,460.28,1,0.0,Oversold (BB Lower)
2024-07-24T00:00:00,NVDA,BUY,114.21,5,0.0,Oversold (BB Lower)
2024-07-25T00:00:00,MSFT,SELL,420.08759999999995,1,-13.202443800000031,Stop Loss
2024-07-25T00:00:00,NVDA,SELL,110.7837,5,-17.40845924999999,Stop Loss
2024-07-25T00:00:00,NVDA,BUY,112.24,5,0.0,Oversold (BB Lower)
2024-07-25T00:00:00,MSFT,BUY,414.55,1,0.0,Oversold (BB Lower)
2024-07-30T00:00:00,NVDA,SELL,108.8728,5,-17.108181999999985,Stop Loss
2024-07-30T00:00:00,NVDA,BUY,103.69,7,0.0,Oversold (BB Lower)
2024-07-31T00:00:00,NVDA,SELL,110.9483,7,50.41978095000004,Take Profit
2024-08-02T00:00:00,QQQ,SELL,446.47159999999997,1,-14.031635800000005,Stop Loss
2024-08-02T00:00:00,MSFT,SELL,402.1135,1,-12.637556750000023,Stop Loss
2024-08-02T00:00:00,SPY,BUY,524.91,1,0.0,Oversold (BB Lower)
2024-08-05T00:00:00,SPY,SELL,509.1627,1,-16.001881349999994,Stop Loss
2024-08-05T00:00:00,SPY,BUY,509.62,1,0.0,Oversold (BB Lower)
2024-08-05T00:00:00,QQQ,BUY,432.46,1,0.0,Oversold (BB Lower)
2024-08-05T00:00:00,AAPL,BUY,208.08,2,0.0,Oversold (BB Lower)
2024-08-05T00:00:00,TSLA,BUY,198.88,2,0.0,Oversold (BB Lower)
2024-08-05T00:00:00,MSFT,BUY,391.51,1,0.0,Oversold (BB Lower)
2024-08-06T00:00:00,AAPL,SELL,201.8376,2,-12.686637600000006,Stop Loss
2024-08-06T00:00:00,TSLA,SELL,192.9136,2,-12.125713599999987,Stop Loss
2024-08-06T00:00:00,AAPL,BUY,206.05,2,0.0,Oversold (BB Lower)
2024-08-13T00:00:00,AAPL,SELL,220.47350000000003,2,28.626526500000036,Take Profit
2024-08-15T00:00:00,QQQ,SELL,462.7322,1,30.0408339,Take Profit
2024-08-16T00:00:00,SPY,SELL,545.2934,1,35.40075330000001,Take Profit
2024-08-20T00:00:00,MSFT,SELL,418.9157,1,27.196242150000025,Take Profit
2024-09-06T00:00:00,MSFT,BUY,398.71,1,0.0,Oversold (BB Lower)
2024-09-13T00:00:00,MSFT,SELL,426.6197,1,27.696390150000042,Take Profit
2024-09-16T00:00:00,AAPL,BUY,215.33,2,0.0,Oversold (BB Lower)
2024-09-20T00:00:00,AAPL,SELL,230.40310000000002,2,29.91579690000002,Take Profit
2024-10-07T00:00:00,MSFT,BUY,406.49,1,0.0,Oversold (BB Lower)
2024-10-11T00:00:00,TSLA,BUY,217.8,2,0.0,Oversold (BB Lower)
2024-10-24T00:00:00,TSLA,SELL,233.04600000000002,2,30.258954000000017,Take Profit
2024-10-29T00:00:00,MSFT,SELL,428.73,1,22.02563500000001,Overbought (BB Upper)
2024-10-31T00:00:00,MSFT,BUY,403.32,1,0.0,Oversold (BB Lower)
2024-11-04T00:00:00,AAPL,BUY,221.0,2,0.0,Oversold (BB Lower)
2024-11-05T00:00:00,MSFT,SELL,408.4,1,4.875799999999984,Backtest End
2024-11-05T00:00:00,AAPL,SELL,222.43,2,2.6375700000000135,Backtest End
