position_size,stop_loss,take_profit,max_positions,trailing_stop,total_return,max_drawdown,win_rate,total_trades,sharpe,final_equity,score
0.02,0.025,0.08,5,True,0.2515354919433594,-3.396414916025017,42.857142857142854,14,0.10305472013549015,10025.153549194336,-2.1143322227267562
0.02,0.015,0.1,5,True,0.14907211303710938,-3.424472348957193,37.5,16,0.07603393972357393,10014.907211303711,-2.5150608386843443
0.02,0.015,0.1,7,True,0.14907211303710938,-3.424472348957193,37.5,16,0.07603393972357393,10014.907211303711,-2.5150608386843443
0.02,0.015,0.12,10,True,0.14907211303710938,-3.424472348957193,42.857142857142854,14,0.07603393972357393,10014.907211303711,-2.5150608386843443
0.02,0.015,0.12,7,True,0.14907211303710938,-3.424472348957193,42.857142857142854,14,0.07603393972357393,10014.907211303711,-2.5150608386843443
0.02,0.015,0.1,10,True,0.14907211303710938,-3.424472348957193,37.5,16,0.07603393972357393,10014.907211303711,-2.5150608386843443
0.02,0.015,0.12,5,True,0.14907211303710938,-3.424472348957193,42.857142857142854,14,0.07603393972357393,10014.907211303711,-2.5150608386843443
0.02,0.02,0.1,7,True,0.13747802734375,-3.396880074755365,40.0,15,0.07297480443590096,10013.747802734375,-2.529654003052605
0.02,0.02,0.1,5,True,0.13747802734375,-3.396880074755365,40.0,15,0.07297480443590096,10013.747802734375,-2.529654003052605
0.02,0.02,0.12,10,True,0.13747802734375,-3.396880074755365,46.15384615384615,13,0.07297480443590096,10013.747802734375,-2.529654003052605
0.02,0.02,0.1,10,True,0.13747802734375,-3.396880074755365,40.0,15,0.07297480443590096,10013.747802734375,-2.529654003052605
0.02,0.02,0.12,5,True,0.13747802734375,-3.396880074755365,46.15384615384615,13,0.07297480443590096,10013.747802734375,-2.529654003052605
0.02,0.02,0.12,7,True,0.13747802734375,-3.396880074755365,46.15384615384615,13,0.07297480443590096,10013.747802734375,-2.529654003052605
0.02,0.015,0.08,7,True,0.11330413818359375,-3.424472348957193,35.294117647058826,17,0.06659546169895715,10011.33041381836,-2.6452135937840278
0.02,0.015,0.08,10,True,0.11330413818359375,-3.424472348957193,35.294117647058826,17,0.06659546169895715,10011.33041381836,-2.6452135937840278
0.02,0.015,0.08,5,True,0.11330413818359375,-3.424472348957193,35.294117647058826,17,0.06659546169895715,10011.33041381836,-2.6452135937840278
0.02,0.02,0.08,5,True,0.10171005249023438,-3.396880074755365,37.5,16,0.06353419770145258,10010.171005249023,-2.6598280452506047
0.02,0.02,0.08,10,True,0.10171005249023438,-3.396880074755365,37.5,16,0.06353419770145258,10010.171005249023,-2.6598280452506047
0.02,0.02,0.08,7,True,0.10171005249023438,-3.396880074755365,37.5,16,0.06353419770145258,10010.171005249023,-2.6598280452506047
0.02,0.025,0.1,10,False,0.6724554443359375,-3.897561656840361,45.45454545454545,11,-0.14631833969552974,10067.245544433594,-4.688289609459721
0.02,0.025,0.1,7,False,0.6724554443359375,-3.897561656840361,45.45454545454545,11,-0.14631833969552974,10067.245544433594,-4.688289609459721
0.02,0.025,0.1,5,False,0.6724554443359375,-3.897561656840361,45.45454545454545,11,-0.14631833969552974,10067.245544433594,-4.688289609459721
0.02,0.02,0.1,7,False,0.6183903503417969,-3.8988255217653998,38.46153846153847,13,-0.15488328462141995,10061.83903503418,-4.829268017637803
0.02,0.02,0.1,5,False,0.6183903503417969,-3.8988255217653998,38.46153846153847,13,-0.15488328462141995,10061.83903503418,-4.829268017637803
0.02,0.02,0.1,10,False,0.6183903503417969,-3.8988255217653998,38.46153846153847,13,-0.15488328462141995,10061.83903503418,-4.829268017637803
